date,time,movies,duration (s),browser,successes,failures,batch,movies per second
1/1/2023, 12:20:35 AM, 190, 257, firefox, 190, 0, 1,
1/2/2023, 12:17:32 AM, 188, 192, firefox, 188, 0, 2,
1/3/2023, 12:17:40 AM, 194, 211, firefox, 192, 0, 3,
1/4/2023, 12:17:26 AM, 225, 184, firefox, 224, 0, 4,
1/5/2023, 12:17:21 AM, 231, 174, firefox, 230, 0, 5,
1/6/2023, 12:18:01 AM, 247, 209, firefox, 246, 0, 6,
1/7/2023, 12:19:23 AM, 243, 292, firefox, 238, 0, 7,
1/8/2023, 12:18:57 AM, 240, 213, firefox, 240, 0, 8,
1/9/2023, 12:19:43 AM, 223, 241, firefox, 216, 0, 9,
1/10/2023, 12:19:56 AM, 223, 237, firefox, 220, 0, 10,
1/11/2023, 12:17:40 AM, 225, 207, firefox, 220, 0, 11,
1/12/2023, 12:18:04 AM, 219, 150, firefox, 216, 0, 12,
1/13/2023, 12:18:21 AM, 206, 173, firefox, 195, 0, 13,
1/14/2023, 12:18:09 AM, 189, 217, firefox, 182, 0, 14,
1/15/2023, 12:17:40 AM, 179, 111, firefox, 165, 0, 15,
1/16/2023, 12:17:08 AM, 168, 154, firefox, 160, 0, 16,
1/17/2023, 12:18:29 AM, 189, 210, firefox, 187, 0, 17,
1/18/2023, 12:21:17 AM, 243, 324, firefox, 234, 0, 18,
1/19/2023, 12:18:36 AM, 236, 189, firefox, 228, 0, 19,
1/20/2023, 12:17:52 AM, 231, 156, firefox, 220, 0, 20,
1/23/2023,12:45:45 PM,235,209,firefox,230,0,23,
1/24/2023,12:17:35 AM,232,156,firefox,216,0,24,
1/25/2023,12:21:49 AM,228,324,firefox,189,36,25,
1/26/2023,12:19:33 AM,236,250,firefox,225,9,26,
1/27/2023,12:18:04 AM,221,192,firefox,200,16,27,
1/28/2023,12:17:07 AM,216,178,firefox,175,21,28,
1/29/2023,12:18:20 AM,221,158,firefox,175,28,29,
1/30/2023,12:15:43 AM,233,149,firefox,175,35,30,
1/31/2023,12:18:50 AM,224,167,firefox,175,42,31,
2/1/2023,12:22:10 AM,218,350,firefox,218,0,1,
2/2/2023,12:19:17 AM,235,236,firefox,234,0,2,
2/3/2023,12:18:56 AM,231,188,firefox,231,0,3,
2/3/2023,9:40:05 PM,231,196,firefox,231,0,3,1.1785714285714286
2/3/2023,10:05:57 PM,231,224,firefox,231,0,3,1.03125
2/4/2023,12:17:28 AM,224,166,firefox,224,0,4,1.3493975903614457
2/5/2023,12:18:46 AM,217,168,firefox,215,0,5,1.2916666666666667
2/6/2023,12:17:58 AM,203,161,firefox,198,0,6,1.2608695652173914
2/7/2023,12:18:42 AM,216,144,firefox,210,0,7,1.5
2/8/2023,12:17:17 AM,212,146,firefox,208,0,8,1.452054794520548
2/9/2023,12:20:25 AM,240,263,firefox,234,0,9,0.9125475285171103
2/10/2023,12:19:55 AM,254,230,firefox,250,0,10,1.1043478260869566
2/11/2023,12:15:59 AM,248,161,firefox,242,0,11,1.5403726708074534
2/12/2023,12:19:06 AM,238,185,firefox,228,0,12,1.2864864864864864
2/13/2023,12:19:59 AM,229,241,firefox,221,0,13,0.950207468879668
2/14/2023,12:18:41 AM,249,177,firefox,238,0,14,1.4067796610169492
2/15/2023,12:20:02 AM,235,221,firefox,225,0,15,1.0633484162895928
2/16/2023,12:19:24 AM,225,228,firefox,224,0,16,0.9868421052631579
2/17/2023,12:18:46 AM,224,162,firefox,221,0,17,1.382716049382716
5/2/2023,1:30:08 PM,177,154,firefox,176,0,2,1.1493506493506493
5/3/2023,12:16:58 AM,166,188,firefox,165,0,3,0.8829787234042553
5/4/2023,12:16:34 AM,160,133,firefox,160,0,4,1.2030075187969924
5/5/2023,12:15:12 AM,164,129,firefox,160,0,5,1.2713178294573644
